Fri Nov 22 22:19:16 GMT+08:00 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1385273534040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273539040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273544040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273549040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273554040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273559040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273564040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273569040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273574040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273579041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273584040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273589040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273594040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273599040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273604040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273609040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273614040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273619040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273624040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273629040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273634040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273639040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273644039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273649039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273654040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273659040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273664040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273669039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273674040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273679040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273684040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273689040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273694040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273699040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273704040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273709040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273714039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273719039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273724040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273729040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273734041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273739040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273744039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273749040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273754040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273759040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273764040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273769040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273774039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273779040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273784039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273789040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273794040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273799040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273804040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273809040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273814039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273819040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273824039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273829041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273834039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273839040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273844040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273849040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273854040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273859040,5,25,5,0,17,0,0,808,0,405,45,0,0
